relative_nObservableFluxes,n_observableFluxes,id,used_,n_fluxes,comment_,simulation_dateAndTime,average_observableFluxPrecision,total_precision,total_observablePrecision,simulation_id,flux_units,average_fluxPrecision
0.0260707635009311,14,20,True,537,,2015-06-09 09:27:38,160.639968273769,29840.7469317764,1253.90360737594,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,mmol*gDCW-1*hr-1,233.130835404503
0.235294117647059,8,21,True,34,,2015-06-09 09:27:38,13.9490484110108,310.06769758281,56.2015850132103,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,EX_glc_LPAREN_e_RPAREN__normalized,19.3792310989256
0.0260707635009311,14,22,True,537,,2015-09-18 07:57:31,178.317135955661,30497.2192769469,1254.09232976414,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_1,mmol*gDCW-1*hr-1,238.259525601148
0.205882352941176,7,23,True,34,,2015-09-18 07:57:31,16.0162647351682,336.448298611807,28.5599962961784,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_1,EX_glc_LPAREN_e_RPAREN__normalized,21.0280186632379
0.0279329608938547,15,24,True,537,,2015-09-19 19:10:17,150.455062258219,30257.2748829453,1254.69636103392,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_3,mmol*gDCW-1*hr-1,236.38496002301
0.235294117647059,8,25,True,34,,2015-09-19 19:10:17,10.3451911024232,300.529536914798,27.7802464841718,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_3,EX_glc_LPAREN_e_RPAREN__normalized,18.7830960571749
0.0236051502145923,11,26,True,466,,2015-09-19 17:02:17,136.055184440989,1498.79024859404,254.887234522339,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_3_noCofactorsMS,mmol*gDCW-1*hr-1,115.291557584157
0.205882352941176,7,27,True,34,,2015-09-19 17:02:17,11.8074769658446,82.6523387609124,0.567425692424084,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_3_noCofactorsMS,EX_glc_LPAREN_e_RPAREN__normalized,11.8074769658446
0.0297951582867784,16,28,True,537,,2015-10-01 00:51:05,201.019064121464,30218.0534650095,2476.85719100873,WTEColi_113C80_U13C20_01_140407_iDM2014_full04_OxicWtGlc_0,mmol*gDCW-1*hr-1,236.078542695387
0.205882352941176,7,29,True,34,,2015-10-01 00:51:05,21.7769072949947,370.727077726139,121.762247255393,WTEColi_113C80_U13C20_01_140407_iDM2014_full04_OxicWtGlc_0,EX_glc_LPAREN_e_RPAREN__normalized,23.1704423578837
0.0333951762523191,18,30,True,539,,2015-09-27 21:21:44,168.597100798098,30535.1977523773,2253.36758391378,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0_extra,mmol*gDCW-1*hr-1,236.706959320754
0.235294117647059,8,31,True,34,,2015-09-27 21:21:44,13.6046631827001,326.534413114596,27.7766521901056,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0_extra,EX_glc_LPAREN_e_RPAREN__normalized,20.4084008196622
0.0317164179104478,17,32,True,536,,2015-09-30 03:09:23,161.865169489037,30252.1355930118,2007.07974544063,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0_pfl,mmol*gDCW-1*hr-1,236.344809320405
0.264705882352941,9,33,True,34,,2015-09-30 03:09:23,15.2632255343787,329.739652884325,55.5149849768361,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0_pfl,EX_glc_LPAREN_e_RPAREN__normalized,20.6087283052703
