rxn_id,flux_exchange_normalized_lb,flux_exchange_normalized,flux_exchange_units,flux_exchange_ub,id,flux_exchange_stdev,comment_,simulation_dateAndTime,flux_exchange,flux_exchange_lb,used_,flux_exchange_normalized_stdev,simulation_id,flux_exchange_normalized_units,flux_exchange_normalized_ub
NTD8,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5194,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ALDD2y,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5195,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
FADSYN_3,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5196,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PPCK,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5197,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
RPI,0.0,0.998829613088191,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5198,27.8691002020471,,2015-06-09 09:27:38,111.345930287707,0.0,True,0.249707745323096,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.998830981292386
COFACTOR_5,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5199,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GLBRAN2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5200,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ETOHtrpp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5201,27.8691002020471,,2015-06-09 09:27:38,0.156483056687094,0.0,True,0.25,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,1.0
SO4tex,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5202,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PTAr,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5203,27.8691002020471,,2015-06-09 09:27:38,0.0,0.0,True,0.248843280051642,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.995373120206569
ADNK1,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5204,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
CSND,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5205,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GK1,0.0,0.836174804417363,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5206,27.8691002020471,,2015-06-09 09:27:38,0.13281207947164,0.0,True,0.249941658592347,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999766634369389
MDDCP1pp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5207,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
SDPDS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5208,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
XPPT,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5209,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
THRD_L,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5210,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PPK2r,0.0,0.992130537431263,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5211,27.8691002020471,,2015-06-09 09:27:38,1.02609620422164,0.0,True,0.249981748872399,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999926995489595
FESR,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5212,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
IPDPS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5213,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
NDPK2,0.0,0.85958194333152,EX_glc_LPAREN_e_RPAREN__normalized,111.476383520903,5214,27.8690958802257,,2015-06-09 09:27:38,0.185079158798713,0.0,True,0.249932215162608,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999728860650432
EX_zn2_LPAREN_e_RPAREN_,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5215,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
COFACTOR_1,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5216,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ACS,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5217,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
MOLYBDOPTERIN_3,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5218,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
RPE,0.769095536129178,0.820815207403406,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5219,27.7924290645981,,2015-06-09 09:27:38,0.421782135629516,0.306684549796033,True,0.0575197954387529,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.99917471788419
GTHSYN,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5220,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GLCptspp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5221,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
G5SADs,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5222,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GUACYC,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5223,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GLCP2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5224,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
MLDCP3App,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5225,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
NTP1,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5226,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
SSALx,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5227,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PIt2rpp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5228,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ASNS2,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5229,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
SUCCtex,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5230,27.8691002020471,,2015-06-09 09:27:38,2.24525332202986,0.0,True,0.25,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,1.0
2obut_and_pyr_to_3mop,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5231,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PUNP5,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5232,27.8691002020471,,2015-06-09 09:27:38,0.0,0.0,True,0.249966501655967,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999866006623868
glu_DASH_L_to_acg5p,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5233,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
EX_so4_LPAREN_e_RPAREN_,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5234,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
DURADx,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5235,27.8691002020471,,2015-06-09 09:27:38,0.195346585586321,0.0,True,0.25,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,1.0
PUNP3,0.0,0.999999999700611,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5236,27.8691002020471,,2015-06-09 09:27:38,111.476400774814,0.0,True,0.249999999925153,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999999999700611
